id;created_at (Europe/Moscow);source;api_type;model_name;provider_name;input_tokens;output_tokens
e0805114-8426-4087-85df-3ab5347159dc;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1401;99
3617b3d4-59c5-4fe5-9db7-2cd583d6ed28;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3201;216
5ecee74f-fbf6-4f81-9a4e-e8d589dc5a45;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;767;101
6c5924c9-2777-4b76-ab85-e26c5db3d190;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2870;405
ec8e311c-3c7b-4a75-a667-8c6946b8260d;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;6203;131
c9158df4-7ea5-4b39-9573-010305506825;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2107;89
40f0ca0e-425c-41b6-add1-50e5436d37b0;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;5898;268
3cd836b7-befc-438e-93dc-998237112336;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2665;2538
946fb80c-de56-4c79-8244-ba7ea1316f9b;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2811;2540
eadb1fab-c5ba-4eef-98ab-9d1868d04865;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4425;146
6380c5be-0cac-4c35-905d-04971bf61829;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1467;97
2ace8e14-3f6a-4423-8322-07bd7ed443ee;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;766;99
c43e6163-8da3-4dc9-a22c-65490fd91fbc;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;4140;96
dc1cdad7-e0db-4b77-bca6-102746aaaa77;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2437;1894
ef38c857-5305-4cb9-acc6-02c5d755b53d;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3151;166
4f5ba045-5208-4127-841b-4fc9793d00b1;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3523;103
75a5061d-d7cf-4673-a117-0a206b064caf;23.05.2026 19:27;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3433;600
b68a53b1-57a0-4ad0-b5a2-f36ee70cd34c;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2812;117
bcd8d44a-1861-4767-9c0d-69eb884f9b0a;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2176;94
21252c53-c15f-4787-bd8a-96737932abf1;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1484;99
ee4d7b8b-def3-4e6b-8665-1f0a97edf626;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;761;100
b5dec8e1-8eca-4264-9a8e-262526b82f40;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1560;630
7a146a0d-40e9-480c-8ea9-bb7f890f6971;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2494;3611
66f78385-bc27-4135-ae1d-ab43ef983a9a;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;7379;366
b48a5b2f-eaa2-467e-ae8b-945548df8a74;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;2467;1355
800fbae3-8702-4673-926a-2218ffc5530f;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;1661;890
8253c26e-937e-4301-956e-31a57603a1ff;23.05.2026 19:26;api;chat/completions;deepseek/deepseek-v4-flash;DeepSeek;3803;610
